City Parish,2023,2022,2021
Alcabideche,11985,11240,10701
São Domingos de Rana,13159,12412,11813
União das freguesias de Carcavelos e Parede,16055,15566,15024
União das freguesias de Cascais e Estoril,13226,12932,12406
Ajuda,12479,11816,11347
Alcântara,12771,12280,11951
Alvalade,18905,18301,17527
Areeiro,17702,17452,16992
Arroios,11447,10938,10688
Avenidas Novas,18158,17841,17523
Beato,11125,10536,10143
Belém,19954,19212,18362
Benfica,15481,14888,14388
Campo de Ourique,15049,14629,14112
Campolide,13132,12655,12455
Carnide,16403,15503,14928
Estrela,14998,14787,14121
Lumiar,21663,20777,20107
Marvila,11284,10559,10092
Misericórdia,11437,11019,10601
Olivais,13453,12883,12455
Parque das Nações,20791,20129,19694
Penha de França,11389,10682,10377
Santa Clara,11570,10900,10462
Santa Maria Maior,9666,9036,8643
Santo António,14315,14377,13840
São Domingos de Benfica,19245,18899,18162
São Vicente,11385,11092,10750
Algueirão-Mem Martins,12235,11594,11141
Casal de Cambra,11450,10633,10147
Colares,11864,11337,10950
Rio de Mouro,12267,11632,11163
União das freguesias de Agualva e Mira-Sintra,11404,10730,10342
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",11281,10569,10092
União das freguesias de Massamá e Monte Abraão,12833,12240,11858
União das freguesias de Queluz e Belas,11889,11313,10850
União das freguesias de São João das Lampas e Terrugem,11845,11153,10579
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",13702,13126,12441
União das freguesias do Cacém e São Marcos,11858,11153,10668
Costa da Caparica,12039,11479,11205
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",12672,12173,11763
União das freguesias de Caparica e Trafaria,11070,10321,9742
União das freguesias de Charneca de Caparica e Sobreda,14667,13972,13464
União das freguesias de Laranjeiro e Feijó,12045,11411,11012
