City Parish,HM,H,M,year
Costa da Caparica,11.24,11.49,11.01,2021
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",9.46,10,9,2021
União das freguesias de Caparica e Trafaria,8.97,9.13,8.82,2021
União das freguesias de Charneca de Caparica e Sobreda,5.38,5.17,5.58,2021
União das freguesias de Laranjeiro e Feijó,9.53,9.88,9.22,2021
Alcabideche,10.13,9.96,10.29,2021
São Domingos de Rana,6.11,5.77,6.41,2021
União das freguesias de Carcavelos e Parede,10.31,10.38,10.25,2021
União das freguesias de Cascais e Estoril,16.53,16.72,16.36,2021
Ajuda,7.28,7.95,6.71,2021
Alcântara,11.75,12.78,10.90,2021
Alvalade,5.38,5.29,5.46,2021
Areeiro,7.86,8.95,6.94,2021
Arroios,23.33,27.44,19.36,2021
Avenidas Novas,9.97,9.99,9.95,2021
Beato,11.84,13.58,10.25,2021
Belém,7.12,7.12,7.12,2021
Benfica,5.98,6.12,5.87,2021
Campo de Ourique,11.26,12.03,10.64,2021
Campolide,10.48,11.85,9.26,2021
Carnide,4.76,4.36,5.11,2021
Estrela,14.35,15.13,13.68,2021
Lumiar,5.08,4.99,5.17,2021
Marvila,5.42,5.36,5.48,2021
Misericórdia,18.67,21.48,15.88,2021
Olivais,5.80,6.13,5.52,2021
Parque das Nações,9.55,9.18,9.89,2021
Penha de França,14.93,17.34,12.81,2021
Santa Clara,8.65,8.24,9.01,2021
Santa Maria Maior,33.28,42.77,21.23,2021
Santo António,17.34,19.59,15.26,2021
São Domingos de Benfica,6.31,6.36,6.26,2021
São Vicente,19.86,22.61,17.37,2021
Algueirão-Mem Martins,9.75,9.58,9.90,2021
Casal de Cambra,9.55,9.26,9.82,2021
Colares,8.34,8.08,8.57,2021
Rio de Mouro,9.92,9.74,10.07,2021
União das freguesias de Agualva e Mira-Sintra,13.30,12.91,13.63,2021
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",6.04,6.36,5.72,2021
União das freguesias de Massamá e Monte Abraão,10.51,10.47,10.55,2021
União das freguesias de Queluz e Belas,10.04,9.88,10.19,2021
União das freguesias de São João das Lampas e Terrugem,5.27,5.21,5.33,2021
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",6.96,7.05,6.88,2021
União das freguesias do Cacém e São Marcos,12.16,11.81,12.47,2021
