City Parish,Total,"Agricultura, produção animal, caça, floresta e pesca",Indústrias extrativas,Indústrias transformadoras,"Eletricidade, gás, vapor, água quente e fria e ar frio","Captação, tratamento e distribuição de água; saneamento, gestão de resíduos e despoluição",Construção,Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,Transportes e armazenagem,"Alojamento, restauração e similares",Atividades de informação e de comunicação,Atividades imobiliárias,"Atividades de consultoria, científicas, técnicas e similares",Atividades administrativas e dos serviços de apoio,Educação,Atividades de saúde humana e apoio social,"Atividades artísticas, de espetáculos, desportivas e recreativas",Outras atividades de serviços,year 
Alcabideche,6723,65,2,177,6,5,490,758,292,408,271,416,843,1597,248,525,272,348,2023
São Domingos de Rana,8077,67,0,286,12,5,606,944,435,392,251,375,874,1976,340,711,334,469,2023
União das freguesias de Carcavelos e Parede,8666,78,0,124,13,2,313,753,300,596,466,520,1383,1931,432,885,462,408,2023
União das freguesias de Cascais e Estoril,15252,220,2,238,29,2,597,1420,458,1412,707,1617,2556,2885,583,1128,750,648,2023
Ajuda,2191,18,0,33,0,1,86,214,121,159,101,93,314,576,95,134,132,114,2023
Alcântara,3169,45,0,52,4,3,70,297,144,286,165,195,596,667,124,204,208,109,2023
Alvalade,10663,197,8,147,27,5,393,1061,311,819,523,993,2100,1586,408,1264,495,326,2023
Areeiro,5839,108,0,72,15,0,191,600,231,401,324,456,1102,1033,221,592,300,193,2023
Arroios,11574,159,2,144,31,4,341,1324,749,1201,566,826,1736,2290,366,787,620,428,2023
Avenidas Novas,14511,278,7,236,106,6,517,1345,348,1134,935,2362,3314,1692,314,1128,433,356,2023
Beato,1654,10,0,30,2,2,61,162,229,91,56,51,188,474,52,117,66,63,2023
Belém,3956,68,1,56,7,3,100,294,87,342,171,376,899,615,158,441,235,103,2023
Benfica,5882,52,1,82,6,0,184,594,254,341,243,290,889,1425,282,617,331,291,2023
Campo de Ourique,6511,142,5,107,61,5,160,616,178,537,347,694,1363,1092,200,443,378,183,2023
Campolide,2606,34,1,42,28,0,90,222,222,210,121,160,481,499,90,224,103,79,2023
Carnide,3341,47,1,53,6,1,115,271,248,200,162,198,660,552,148,446,139,94,2023
Estrela,5824,102,1,79,15,0,105,449,188,710,275,558,1332,969,178,347,380,136,2023
Lumiar,7418,141,0,92,15,1,187,602,156,400,337,426,1636,1158,441,1262,334,230,2023
Marvila,3050,29,0,59,4,2,160,429,249,223,107,111,305,760,118,182,130,182,2023
Misericórdia,5154,52,2,76,17,2,105,456,184,1076,259,483,861,767,131,201,334,148,2023
Olivais,3417,38,0,48,3,4,99,304,228,222,146,183,472,836,169,337,182,146,2023
Parque das Nações,5982,71,2,98,21,11,228,632,196,484,478,671,1195,683,251,614,210,137,2023
Penha de França,6690,28,0,92,6,2,253,556,749,450,277,285,713,1984,239,366,372,318,2023
Santa Clara,5461,65,0,84,14,3,219,457,387,321,288,397,820,1134,238,619,225,190,2023
Santa Maria Maior,6496,68,2,84,8,3,121,1185,558,1278,265,516,800,878,103,145,331,151,2023
Santo António,9719,158,4,169,134,14,273,851,204,1032,631,1824,2147,1089,178,436,357,218,2023
São Domingos de Benfica,6124,119,1,68,24,1,190,557,176,367,269,402,1266,993,293,954,273,171,2023
São Vicente,3566,26,0,56,3,1,92,302,295,455,187,243,438,758,136,156,301,117,2023
Algueirão-Mem Martins,8854,59,1,264,8,7,707,994,529,432,197,276,761,2787,352,609,287,584,2023
Casal de Cambra,1469,23,0,41,0,3,157,182,138,78,18,24,69,438,49,95,47,107,2023
Colares,1537,64,0,44,5,0,131,165,17,241,26,74,163,313,63,83,88,60,2023
Rio de Mouro,6281,36,0,175,5,9,568,671,430,281,163,216,509,1932,241,427,248,370,2023
União das freguesias de Agualva e Mira-Sintra,4406,37,0,97,7,6,342,517,358,226,100,136,276,1445,146,311,133,269,2023
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",2554,124,11,339,15,2,240,443,129,122,26,85,168,480,57,108,58,147,2023
União das freguesias de Massamá e Monte Abraão,6089,46,0,100,3,4,423,590,429,244,156,250,599,1851,260,517,230,387,2023
União das freguesias de Queluz e Belas,6844,47,1,143,4,3,549,903,465,357,165,263,567,1943,239,521,230,444,2023
União das freguesias de São João das Lampas e Terrugem,2894,82,5,268,14,6,333,474,89,182,55,116,224,565,90,138,111,142,2023
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",5653,69,4,226,23,6,338,849,177,541,178,382,793,962,201,422,276,206,2023
União das freguesias do Cacém e São Marcos,4692,30,0,116,4,8,353,497,371,235,138,168,318,1500,163,294,169,328,2023
Costa da Caparica,2941,72,0,35,2,2,155,316,137,376,121,89,261,814,116,151,110,184,2023
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",7427,83,1,138,8,5,398,847,342,530,273,267,907,1887,360,665,303,413,2023
União das freguesias de Caparica e Trafaria,2631,49,1,68,6,0,198,297,158,219,87,82,213,668,126,192,87,180,2023
União das freguesias de Charneca de Caparica e Sobreda,7125,57,2,155,30,6,562,769,295,475,232,480,809,1559,380,654,306,354,2023
União das freguesias de Laranjeiro e Feijó,4499,37,0,86,4,2,295,567,354,244,110,138,362,1242,204,377,145,332,2023
