City Parish,Total,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 ou mais anos,sex,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa da Caparica,47.51,73.18,77.07,76.96,76.38,75.97,73.20,65.27,46.54,16.21,4.96,2.11,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",45.60,72.09,78.20,79.63,79.41,80.75,77.02,70.21,50.23,16.32,4.18,1.14,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
União das freguesias de Caparica e Trafaria,45.13,66.08,69.19,72.36,73.83,74.69,69.31,62.59,46.14,15.53,3.68,1.14,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
União das freguesias de Charneca de Caparica e Sobreda,52.28,73.74,82.17,84.08,84.33,83.93,80.02,72.53,49.29,17.57,4.29,0.85,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
União das freguesias de Laranjeiro e Feijó,48.06,70.61,76.35,77.14,78.24,78.48,75.90,66.31,47.66,15.65,3.34,1.11,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Alcabideche,49.55,66.21,72.50,77.32,80.27,78.68,76.20,69.26,50.83,20.46,5.45,1.71,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
São Domingos de Rana,53.06,73.26,79.79,83.11,84.08,83.41,78.30,71.91,50.52,16.87,3.85,1.10,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
União das freguesias de Carcavelos e Parede,49.09,74.07,81.98,81.14,81.49,81.86,78.53,73.16,54.67,20.84,5.09,1.69,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
União das freguesias de Cascais e Estoril,45.55,69.77,76,75.71,75.64,75.70,73.04,65.56,51.90,22.15,7.75,2.67,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Ajuda,45.42,72.22,79.61,75.94,78.49,75.42,71.94,66.20,47.84,17.38,3.15,0.99,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Alcântara,50.82,76.66,79.86,80.24,79.49,78.86,75.40,70.39,52.84,22.64,5.78,1.90,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Alvalade,52.18,80.18,85.14,85.52,86.28,85.57,81.25,72.78,56.95,26.18,9.53,2.07,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Areeiro,52.45,77.92,80.67,82.35,84.37,83.15,79.10,74.98,61.72,29.70,9.13,2.59,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Arroios,55.28,74.07,78.34,79.01,78.71,78.31,76.09,68.88,57.51,25.68,6.68,2.27,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Avenidas Novas,53.24,77.80,84.28,83.77,84.73,83.08,79.67,72.62,63.13,28.87,11.95,2.89,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Beato,45.85,70.70,73.18,78.40,75.41,73.97,71.37,62.53,42.82,17.06,3.76,1.32,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Belém,50,77.63,84.49,83.57,82.79,84.28,81.65,74.95,63.67,29.30,9.73,2.89,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Benfica,46.67,76.60,81.32,81.89,81.62,79.84,76.47,70.90,54.13,19.71,5.01,1.83,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Campo de Ourique,50.77,77.77,80.12,80.73,80.54,83.15,77.06,72.91,55.15,22.73,7.40,2.46,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Campolide,49.70,74.13,78.72,79.21,77.51,78.75,75.36,66.13,52.88,22.19,6.32,1.59,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Carnide,48.85,70.26,77.55,79.31,78.44,81.12,78.62,71.63,55.45,22.19,6.21,1.11,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
