City parish,Total,Ensino pós-secundário,Curso técnico superior profissional,Bacharelato,Licenciatura,Mestrado,Doutoramento,sexo,idade
Alcabideche,3054,57,6,80,477,98,21,total,total
São Domingos de Rana,4128,65,6,114,738,154,24,total,total
União das freguesias de Carcavelos e Parede,3073,49,1,160,910,200,57,total,total
União das freguesias de Cascais e Estoril,4308,57,4,241,997,281,60,total,total
Ajuda,1037,10,1,14,126,30,5,total,total
Alcântara,941,9,1,33,206,58,15,total,total
Alvalade,2002,18,0,89,710,199,62,total,total
Areeiro,1242,16,0,60,372,120,45,total,total
Arroios,1696,19,1,60,443,136,45,total,total
Avenidas Novas,1273,12,0,62,444,132,40,total,total
Beato,869,15,0,14,99,21,8,total,total
Belém,924,6,0,50,332,99,41,total,total
Benfica,2508,32,3,75,540,121,28,total,total
Campo de Ourique,1462,18,0,52,352,125,26,total,total
Campolide,1003,12,0,24,193,55,9,total,total
Carnide,1352,8,1,28,271,81,18,total,total
Estrela,1181,11,0,70,315,116,27,total,total
Lumiar,2858,17,0,120,957,286,85,total,total
Marvila,3248,32,3,24,207,39,16,total,total
Misericórdia,560,3,0,14,99,43,16,total,total
Olivais,2413,22,0,54,380,101,25,total,total
Parque das Nações,1358,14,1,38,368,132,34,total,total
Penha de França,1830,20,2,61,303,85,17,total,total
Santa Clara,2063,21,2,27,219,47,17,total,total
Santa Maria Maior,532,4,0,9,53,22,7,total,total
Santo António,543,5,0,30,159,54,21,total,total
São Domingos de Benfica,2027,17,1,90,682,200,50,total,total
São Vicente,855,10,0,27,129,40,11,total,total
Algueirão-Mem Martins,4853,99,6,87,618,109,19,total,total
Casal de Cambra,923,14,1,8,79,11,0,total,total
Colares,440,4,0,19,70,21,4,total,total
Rio de Mouro,3623,88,7,77,451,78,13,total,total
União das freguesias de Agualva e Mira-Sintra,3404,57,3,51,328,41,4,total,total
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",992,20,1,11,77,16,5,total,total
União das freguesias de Massamá e Monte Abraão,3533,58,4,106,587,84,20,total,total
União das freguesias de Queluz e Belas,3805,70,3,72,500,104,12,total,total
União das freguesias de São João das Lampas e Terrugem,992,17,0,24,126,23,4,total,total
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",1671,24,1,69,355,94,13,total,total
União das freguesias do Cacém e São Marcos,3036,68,3,42,345,33,7,total,total
Costa da Caparica,998,13,0,23,184,39,10,total,total
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",3466,50,1,93,610,126,26,total,total
União das freguesias de Caparica e Trafaria,2383,19,4,24,203,41,1,total,total
União das freguesias de Charneca de Caparica e Sobreda,2756,40,2,93,633,136,24,total,total
União das freguesias de Laranjeiro e Feijó,3089,43,3,47,361,47,7,total,total
Alcabideche,101,5,3,0,7,1,0,total,25 - 29 anos
São Domingos de Rana,136,4,2,0,10,2,0,total,25 - 29 anos
União das freguesias de Carcavelos e Parede,48,1,0,0,6,2,0,total,25 - 29 anos
União das freguesias de Cascais e Estoril,87,4,0,0,14,4,0,total,25 - 29 anos
Ajuda,51,0,0,0,6,0,0,total,25 - 29 anos
Alcântara,24,0,1,0,2,0,0,total,25 - 29 anos
Alvalade,24,0,0,0,4,1,0,total,25 - 29 anos
Areeiro,24,2,0,0,0,3,0,total,25 - 29 anos
Arroios,35,2,0,0,3,1,0,total,25 - 29 anos
Avenidas Novas,16,0,0,0,5,0,0,total,25 - 29 anos
Beato,37,0,0,0,1,0,0,total,25 - 29 anos
